AnimalId,Sex,DateOfBirth,MomId,SireGenetic,MatrilId,Pedigree
003,F,01/01/1954,,,003,1
DC,F,04/06/1958,003,,003,2
TL,F,03/20/1962,DC,,003,3
Y4,F,04/11/1967,TL,,003,4
ZT,F,01/27/1964,DC,,003,3
i68ZT,M,03/29/1968,ZT,,003,4
B7,F,03/03/1965,DC,,003,3
T5,M,02/26/1966,DC,,003,3
4A,F,03/07/1967,DC,,003,3
i68DC,M,04/13/1968,DC,,003,3
i69DC,F,03/17/1969,DC,,003,3
i60003,M,02/22/1960,003,,003,2
FA,M,03/29/1961,003,,003,2
K5,F,04/07/1962,003,,003,2
W9,F,03/02/1966,K5,,003,3
5A,F,04/06/1967,K5,,003,3
i68K5,F,04/10/1968,K5,,003,3
YZ,M,03/11/1963,003,,003,2
FV,F,03/11/1964,003,,003,2
B8,M,03/14/1965,003,,003,2
S1,M,03/02/1966,003,,003,2
2N,M,03/08/1967,003,,003,2
i68003,M,03/25/1968,003,,003,2
004,F,01/01/1955,,,004,1
i60004,U,02/23/1960,004,,004,2
JT,M,02/03/1961,004,,004,2
MC,M,03/15/1963,004,,004,2
WT,F,02/03/1964,004,,004,2
i68WT,M,03/18/1968,WT,,004,3
288,M,03/10/1969,WT,,004,3
287,F,04/14/1970,WT,,004,3
i74287,M,03/08/1974,287,,004,4
698,F,03/02/1975,287,,004,4
i79698,M,05/03/1979,698,,004,5
i80698,M,03/09/1980,698,,004,5
764,M,05/06/1976,287,,004,4
795,M,03/24/1977,287,,004,4
882,F,02/26/1978,287,,004,4
974,F,02/26/1979,287,,004,4
H68,M,02/07/1984,974,,004,5
I45,M,03/13/1985,974,,004,5
J91,F,02/04/1986,974,843,004,5
i90J91,F,02/22/1990,J91,,004,6
X52,M,01/20/1991,J91,912,004,6
18B,M,12/14/1992,J91,G09,004,6
61C,F,01/14/1994,B81,,004,6
67D,M,02/09/1995,J91,L07,004,6
64F,M,02/20/1996,J91,O81,004,6
i98J91,M,12/02/1997,J91,,004,6
87K,F,11/14/1998,J91,H87,004,6
11V,F,11/10/2003,87K,86D,004,7
89Z,F,12/09/2004,87K,65F,004,7
1D1,F,09/25/2006,87K,65F,004,7
8E3,F,10/14/2007,87K,07D,004,7
2I1,M,09/02/2009,87K,25L,004,7
2L2,M,09/24/2010,87K,41N,004,7
7N7,F,09/05/2011,87K,49Z,004,7
4X4,M,08/16/2015,7N7,6B2,004,8
AQ1,M,07/28/2018,7N7,8A9,004,8
1Q1,F,10/15/2012,87K,41N,004,7
I1387K,F,10/15/2012,87K,,004,7
3S2,F,09/06/2013,87K,8A7,004,7
9U6,F,08/27/2014,87K,12Z,004,7
7V0,M,08/31/2015,87K,7E1,004,7
42L,F,12/30/1999,J91,I37,004,6
90Z,M,11/09/2004,42L,79H,004,7
0C6,F,12/20/2005,42L,01K,004,7
2I6,M,10/28/2009,0C6,02R,004,8
6N2,M,08/21/2011,0C6,06O,004,8
5P7,F,09/14/2012,0C6,67Z,004,8
I130C6,F,09/14/2012,0C6,,004,8
3S4,F,08/27/2013,0C6,4C6,004,8
AQ3,M,06/18/2018,3S4,4P1,004,9
8T7,F,08/25/2014,0C6,94O,004,8
